feature	test_accuracy_lr	test_accuracy_baseline	samples
P_UVULARS	0.63	0.6900000000000001	22
P_UVULAR_CONTINUANTS	0.5666666666666667	0.7333333333333333	22
P_FRONT_ROUND_VOWELS	0.5666666666666667	0.7333333333333333	22
INV_VOICED_BILABIAL_PLOSIVE	0.8047619047619048	0.8380952380952381	31
INV_VOICELESS_PALATAL_PLOSIVE	0.8047619047619048	0.8380952380952381	31
INV_VOICED_ALVEOLAR_PLOSIVE	0.8380952380952381	0.8095238095238095	31
INV_CLOSE_MID_FRONT_UNROUNDED_VOWEL	0.5980952380952381	0.7790476190476191	31
INV_VOICELESS_GLOTTAL_FRICATIVE	0.858095238095238	0.5485714285714286	31
INV_ALVEOLAR_TRILL	0.5809523809523809	0.6476190476190475	31
INV_VOICED_LABIODENTAL_FRICATIVE	0.7866666666666666	0.7123809523809523	31
INV_VOICED_LABIAL_VELAR_APPROXIMANT	0.46952380952380945	0.5485714285714286	31
INV_VOICELESS_VELAR_FRICATIVE	0.6152380952380951	0.5485714285714286	31
INV_CLOSE_FRONT_ROUNDED_VOWEL	0.8057142857142857	0.7485714285714286	31
INV_OPEN_OPEN_MID_FRONT_UNROUNDED_VOWEL	0.6885714285714286	0.7790476190476191	31
INV_CLOSE_MID_FRONT_ROUNDED_VOWEL	0.8171428571428571	0.7485714285714286	31
INV_VELAR_NASAL	0.7428571428571429	0.5142857142857142	31
INV_OPEN_MID_FRONT_ROUNDED_VOWEL	0.8095238095238095	0.8380952380952381	31
INV_OPEN_OPEN_MID_CENTRAL_UNROUNDED_VOWEL	0.8761904761904763	0.8380952380952381	31
INV_OPEN_BACK_UNROUNDED_VOWEL	0.6114285714285714	0.7485714285714286	31
INV_OPEN_MID_BACK_ROUNDED_VOWEL	0.7504761904761905	0.6152380952380951	31
INV_MID_CENTRAL_UNROUNDED_VOWEL	0.4095238095238095	0.6761904761904761	31
INV_OPEN_MID_FRONT_UNROUNDED_VOWEL	0.6476190476190475	0.6761904761904761	31
INV_VOICED_VELAR_FRICATIVE	0.819047619047619	0.7790476190476191	31
INV_CLOSE_CLOSE_MID_HIGH_FRONT_UNROUNDED_VOWEL	0.8095238095238095	0.6476190476190475	31
INV_PALATAL_NASAL	0.6390476190476191	0.5485714285714286	31
INV_ALVEOLAR_TAP	0.5714285714285714	0.6761904761904761	31
INV_VOICELESS_POSTALVEOLAR_FRICATIVE	0.6266666666666666	0.7790476190476191	31
INV_LABIODENTAL_APPROXIMANT	0.8380952380952381	0.6761904761904761	31
INV_PALATAL_LATERAL_APPROXIMANT	0.6514285714285715	0.7485714285714286	31
INV_VOICED_POSTALVEOLAR_FRICATIVE	0.7238095238095238	0.6152380952380951	31
INV_GLOTTAL_PLOSIVE	0.7476190476190476	0.6476190476190475	31
INV_VOICELESS_DENTAL_FRICATIVE	0.8	0.8380952380952381	31
INV_PLACE_DENTAL	0.9047619047619048	0.8380952380952381	31
INV_PLACE_ALVEOPALATAL	0.7714285714285715	0.8380952380952381	31
INV_PLACE_LABIOVELARIZED_VELAR	0.48666666666666664	0.6152380952380951	31
INV_PLACE_UVULAR	0.5714285714285714	0.6476190476190475	31
INV_PLACE_FRONT_ROUND	0.7504761904761905	0.7123809523809523	31
INV_APICICAL_LAMIMANL	0.7457142857142858	0.7123809523809523	31
INV_VELAR_UVULAR	0.5714285714285714	0.6476190476190475	31
INV_NASAL_MINUS_NASAL	0.7761904761904763	0.8380952380952381	31
INV_TENSE_MINUS_TENSE	0.64	0.5828571428571429	31
INV_ROUND_MINUS_ROUND	0.5019047619047619	0.5485714285714286	31
INV_HI_MINUS_HI	0.6047619047619047	0.8380952380952381	31
INV_LO_MINUS_LO	0.5599999999999999	0.7123809523809523	31
INV_VOWEL_5	0.5714285714285714	0.8380952380952381	31
INV_VOWEL_6	0.6047619047619047	0.8380952380952381	31
INV_VOW_10_MORE	0.4809523809523809	0.6476190476190475	31
INV_CONS_ASP	0.5809523809523809	0.6761904761904761	31
INV_CONT_VD_VLESS	0.7142857142857143	0.8095238095238095	31
P_VELAR_NASAL	0.9199999999999999	0.6399999999999999	19
