character x y
ady 4.322288513183594 2.477175235748291
afr 5.346132755279541 0.6737403869628906
ain 5.860194683074951 1.9469890594482422
ang 3.365429639816284 2.206498861312866
ara 4.585042953491211 2.3376004695892334
arc 3.946604013442993 2.6728906631469727
ast 5.981255054473877 1.3385300636291504
aze 5.086926460266113 4.187720775604248
bak 3.4261295795440674 2.1671628952026367
ben 4.335367679595947 4.639036178588867
bre 6.514440059661865 4.5204901695251465
bul 3.8336021900177 0.45673879981040955
cat 6.424366474151611 1.0024207830429077
ces 2.220951795578003 2.0896010398864746
cym 4.023284435272217 0.5473348498344421
dan 5.613576412200928 2.763078451156616
deu 2.495857000350952 4.1296234130859375
dsb 4.121915817260742 1.0499411821365356
ell 3.131512403488159 0.9589380621910095
eng 7.213058948516846 1.6648979187011719
epo 2.609457492828369 2.6344616413116455
fao 5.1296844482421875 1.438372015953064
fas 4.860607147216797 4.1674299240112305
fin 2.4883618354797363 1.4024511575698853
fra 6.345417499542236 0.2866800129413605
gem 3.020641326904297 1.8797391653060913
gla 6.647806167602539 2.2169458866119385
gle 7.118961811065674 3.0120062828063965
hbs 2.627735137939453 2.8346376419067383
heb 4.701334476470947 2.8880884647369385
hin 4.76860237121582 4.804396152496338
hun 3.83290433883667 4.832119941711426
hye 4.51621150970459 4.9946136474609375
ido 4.173468112945557 0.9132258892059326
isl 4.265295505523682 1.7870038747787476
ita 5.454928398132324 1.4807339906692505
jbo 3.4318082332611084 2.713534355163574
jpn 5.49025821685791 3.426724910736084
kat 5.023488998413086 5.074193000793457
kbd 7.095422744750977 2.6232333183288574
kor 5.664536476135254 3.5834670066833496
kur 5.027889251708984 2.4205844402313232
lao 6.0595808029174805 3.7883951663970947
lat 3.6508407592773438 2.605004072189331
lav 5.817759990692139 2.668102741241455
lit 3.474677562713623 5.029760837554932
ltz 2.66764235496521 4.036692142486572
mkd 2.3073363304138184 2.891141653060913
mlt 2.515132427215576 3.245326280593872
msa 3.3119285106658936 3.2475593090057373
mul 6.939975261688232 2.1237058639526367
mya 3.74123215675354 3.9564411640167236
 5.888194561004639 3.8816146850585938
nci 5.107172012329102 1.1228865385055542
nld 3.1086175441741943 1.0498074293136597
nno 4.897949695587158 1.0754985809326172
nob 6.7524213790893555 3.799896240234375
oci 6.025425910949707 1.259806513786316
pol 1.9051340818405151 2.4964206218719482
por 5.9755048751831055 0.8787985444068909
pus 4.402766704559326 2.971363067626953
ron 3.450509548187256 4.168458461761475
rus 5.0543060302734375 0.0772368460893631
san 4.106583118438721 3.636310338973999
scn 5.363553524017334 2.118192434310913
sco 6.930936813354492 1.6920819282531738
sga 5.015054702758789 1.8277950286865234
slk 2.238084316253662 2.2645437717437744
slv 3.820552110671997 0.9997410774230957
spa 6.057560920715332 4.875547409057617
sqi 3.972797393798828 4.7123026847839355
swe 4.544825553894043 -0.015158697962760925
syc 4.273562431335449 2.9201719760894775
tel 4.072108268737793 3.871596097946167
tgk 5.246458530426025 3.248703956604004
tgl 5.100630283355713 4.2693376541137695
tha 6.411793231964111 3.57966947555542
tur 5.121876239776611 4.996476173400879
ukr 5.4746246337890625 4.722640514373779
unk 6.081782817840576 2.1243131160736084
unknown 6.174383163452148 1.7960740327835083
urd 7.04801082611084 2.244746208190918
vie 5.7714738845825195 3.0697596073150635
vol 3.213517189025879 3.4664957523345947
yid 6.387516021728516 0.6683213114738464
yue 5.844034194946289 4.540951728820801
zho 5.821384429931641 2.8804709911346436
